OBJECTID,YEAR_,STATE,UNIT_ID,FIRE_NUM,FIRE_NAME,AGENCY,C_METHOD,CAUSE,INC_NUM,OBJECTIVE,COMMENTS,REPORT_AC,GIS_ACRES,ALARM_DATE,CONT_DATE
13065,1997,CA,KRN,00000000,OSO,CCO,,14,00000000,1,,,995.77093506,1997/09/09 00:00:00+00,1970/01/01 00:00:00+00
13066,1997,CA,KRN,00000000,GRANDVIEW,CCO,,14,00000000,1,,,1.71510851,1997/10/20 00:00:00+00,1970/01/01 00:00:00+00
13067,1997,CA,LAC,00022000,FREEWAY FIRE II,CCO,,14,00001038,1,,,20.04351997,1997/07/06 00:00:00+00,1970/01/01 00:00:00+00
13068,1997,CA,LAC,00060000,FREEWAY FIRE I,CCO,,14,00008104,1,,,22.0313015,1997/05/27 00:00:00+00,1970/01/01 00:00:00+00
13069,1997,CA,LAC,00030000,BONELLI FIRE,CCO,,14,00001016,1,,,130.34036255,1997/07/03 00:00:00+00,1970/01/01 00:00:00+00
13070,1997,CA,LAC,00070000,AMARILLO/TANK FIRE,CCO,,14,00001105,1,,,202.31980896,1997/07/18 00:00:00+00,1970/01/01 00:00:00+00
13071,1997,CA,LAC,00080000,RHAPSODY FIRE,CCO,,14,00001699,1,,,122.18043518,1997/11/01 00:00:00+00,1970/01/01 00:00:00+00
13072,1997,CA,LAC,00029000,CANYON II FIRE,CCO,,14,00001003,1,,,3825.17138672,1997/07/01 00:00:00+00,1970/01/01 00:00:00+00
13073,1997,CA,LAC,00040000,SHOOTING FIRE,CCO,,14,00006638,1,,,425.73013306,1997/05/01 00:00:00+00,1970/01/01 00:00:00+00
13074,1997,CA,LAC,00006000,FREEWAY IC FIRE,CCO,,14,00001194,1,,,45.27452469,1997/08/03 00:00:00+00,1970/01/01 00:00:00+00
13075,1997,CA,LAC,00031000,SIERRA FIRE,CCO,,14,00001279,1,,,522.91760254,1997/08/18 00:00:00+00,1970/01/01 00:00:00+00
13076,1997,CA,LAC,00090000,PLACERITA FIRE,CCO,,14,00001014,1,,,459.16824341,1997/07/03 00:00:00+00,1970/01/01 00:00:00+00
13077,1997,CA,LAC,00003000,SOLEDAD FIRE,CCO,,14,00001118,1,,,166.06881714,1997/07/20 00:00:00+00,1970/01/01 00:00:00+00
13078,1997,CA,LAC,00000000,LINDA FIRE,CCO,,14,00006650,1,,,215.76937866,1997/05/01 00:00:00+00,1970/01/01 00:00:00+00
13079,1998,CA,SRF,00000000, ,USF,,14,00000000,1,,,337.35836792,1998/10/01 00:00:00+00,1970/01/01 00:00:00+00
13080,1998,CA,SRF,00000000, ,USF,,14,00000000,1,,,495.12554932,1998/10/01 00:00:00+00,1970/01/01 00:00:00+00
13081,1998,CA,SRF,00000000, ,USF,,14,00000000,1,,,1067.79650879,1998/10/01 00:00:00+00,1970/01/01 00:00:00+00
13082,1998,CA,SRF,00000000, ,USF,,14,00000000,1,,,612.90203857,1998/10/01 00:00:00+00,1970/01/01 00:00:00+00
13083,1998,CA,SRF,00000000, ,USF,,14,00000000,1,,,84.46767426,1998/10/01 00:00:00+00,1970/01/01 00:00:00+00
13084,1998,CA,SRF,00000000, ,USF,,14,00000000,1,,,196.70994568,1998/10/01 00:00:00+00,1970/01/01 00:00:00+00
13085,1998,CA,SRF,00000000, ,USF,,14,00000000,1,,,5.06568289,1998/10/01 00:00:00+00,1970/01/01 00:00:00+00
13086,1998,CA,SRF,00000000, ,USF,,14,00000000,1,,,90.80735016,1998/10/01 00:00:00+00,1970/01/01 00:00:00+00
13087,1988,CA,TCU,00000548,MASON,CDF,,7,00002733,1,,,4049.6003418,1988/07/21 00:00:00+00,1970/01/01 00:00:00+00
13088,1988,CA,NEU,00000920,49'ER,CDF,,5,00004191,1,,,36343.1484375,1988/09/11 00:00:00+00,1970/01/01 00:00:00+00
13089,1988,CA,AEU,00000253,AMADOR,CDF,,7,00002364,1,,,329.03689575,1988/07/18 00:00:00+00,1970/01/01 00:00:00+00
13090,1988,CA,SNU,00000247,BOISE,CDF,,14,00000887,1,,,319.34210205,1988/09/19 00:00:00+00,1970/01/01 00:00:00+00
13091,1988,CA,HUU,00000362,CHARLES,CDF,,9,00003308,1,,,1188.55969238,1988/12/15 00:00:00+00,1970/01/01 00:00:00+00
13092,1995,CA,SLU,00000000,TWISSELMAN,CDF,,14,00002952,1,,,251.46888733,1995/08/28 00:00:00+00,1970/01/01 00:00:00+00
13093,1995,CA,BEU,00000000,PANOCHE,CDF,,14,00002019,1,,,485.07180786,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00
13094,1995,CA,SRF,00501665,SHADE,USF,8,5,00000003,1,,75,74.6754837,1995/05/23 00:00:00+00,1995/05/31 00:00:00+00
13095,1995,CA,SRF,00000010,7 TRIBES,USF,8,7,00000000,1,,2,2.48947453,1995/06/30 00:00:00+00,1995/06/30 00:00:00+00
13096,1995,CA,SRF,00000041,KNIGHT,USF,8,7,00000000,1,,20,19.91498756,1995/09/21 00:00:00+00,1995/09/21 00:00:00+00
13097,1995,CA,SLU,00000000,BITTERWATER,CDF,,14,00002427,1,,,65.23503876,1995/07/24 00:00:00+00,1970/01/01 00:00:00+00
13098,1995,CA,FKU,00000000,TAR,CDF,,14,00000000,1,,,126.94041443,1995/09/04 00:00:00+00,1970/01/01 00:00:00+00
13099,1995,CA,KNF,00000069,PANTHER,USF,8,2,00000000,1,,3,2.59437346,1995/08/01 00:00:00+00,1995/08/02 00:00:00+00
13100,1995,CA,KRN,00000000,LOPEZ,CCO,,1,00000000,1,,,1923.81896973,1995/07/30 00:00:00+00,1970/01/01 00:00:00+00
13101,1996,CA,MVU,00000887,RINCON,CDF,,14,00004723,1,,,177.28398132,1996/06/30 00:00:00+00,1970/01/01 00:00:00+00
13102,1996,CA,MVU,00001504,HARMONY,CDF,,2,00007979,1,,,9359.45410156,1996/10/21 00:00:00+00,1970/01/01 00:00:00+00
13103,1996,CA,MVU,000074.0,HARMONY,CDF,,14,00000000,1,,,79.0936203,1996/06/06 00:00:00+00,1970/01/01 00:00:00+00
13104,1996,CA,MVU,000076.0,EGG,CDF,,14,00000000,1,,,804.72717285,1996/06/19 00:00:00+00,1970/01/01 00:00:00+00
13105,1996,CA,MVU,000071.0,WITCH,CDF,,14,00000000,1,,,48.7902832,1996/04/29 00:00:00+00,1970/01/01 00:00:00+00
13106,1996,CA,MVU,000072.0,WEST,CDF,,14,00000000,1,,,40.44417191,1996/04/29 00:00:00+00,1970/01/01 00:00:00+00
13107,1999,CA,CNF,00000052,TIN MINE,USF,8,4,00001587,1,,30,18.68623352,1999/07/07 00:00:00+00,1999/07/08 00:00:00+00
13108,1999,CA,RRU,00001536,CHASE,CDF,,7,00058088,1,,,439.77175903,1999/09/30 00:00:00+00,1970/01/01 00:00:00+00
13109,1999,CA,SHF,00000186,JONES,USF,8,9,00000000,1,,26202,26202.59960938,1999/10/16 00:00:00+00,1999/10/30 00:00:00+00
13110,1999,CA,BDU,00000093,TURTLE,CDF,,5,00000593,1,,,3396.44140625,1999/07/25 00:00:00+00,1970/01/01 00:00:00+00
13111,1999,CA,LNU,00000000,PG&E #22,CDF,,11,00006468,1,,,1407.00512695,1999/10/29 00:00:00+00,1970/01/01 00:00:00+00
13112,1997,CA,LPF,00000058,HOMESTEAD,USF,8,9,00000000,1,,375,360.49761963,1997/09/28 00:00:00+00,1997/09/28 00:00:00+00
13113,1997,CA,SBC,00000000,JANEWAY,CCO,,2,00000000,1,,,445.42755127,1997/05/23 00:00:00+00,1970/01/01 00:00:00+00
13114,1995,CA,NOD,0000D525, ,BLM,,1,00000000,1,,346,349.61575317,1995/09/15 00:00:00+00,1970/01/01 00:00:00+00
13115,1963,CA,NOD,00000000, ,BLM,,1,00000000,1,,154,151.3477478,1963/09/09 00:00:00+00,1970/01/01 00:00:00+00
13116,1978,CA,NOD,0000O383, ,BLM,,2,00000000,1,,60,43.21859741,1978/10/17 00:00:00+00,1970/01/01 00:00:00+00
13117,2004,CA,MMU,00000236,JASPER 2,CDF,6,2,00012506,1,,26,16.7157917,2004/07/08 00:00:00+00,2004/07/08 00:00:00+00
13118,2004,CA,MMU,00000126,DETENTION,CDF,6,14,00007979,1,,30,23.37384605,2004/05/07 00:00:00+00,2004/05/07 00:00:00+00
13119,2004,CA,MMU,00000095,RIMS,CDF,6,14,00007163,1,,68,43.39123917,2004/04/26 00:00:00+00,2004/04/27 00:00:00+00
13120,2004,CA,MMU,00000270,ROMERO,CDF,6,14,00009595,1,,65,16.95196152,2004/07/28 00:00:00+00,2004/07/28 00:00:00+00
13121,2004,CA,MMU,00000340,BEAR,CDF,6,14,00016500,1,,416,456.0668335,2004/09/02 00:00:00+00,2004/09/04 00:00:00+00
